22.877185583114624 3.151087999343872 4.764909267425537
         30608331 function calls (18939287 primitive calls) in 30.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 c_parser.py:1841(p_constant_1)
        7    0.000    0.000    0.000    0.000 c_parser.py:1936(p_empty)
       10    0.000    0.000    0.000    0.000 c_parser.py:199(_lex_type_lookup_func)
        2    0.000    0.000    0.000    0.000 c_parser.py:208(_get_yacc_lookahead_token)
        3    0.000    0.000    0.000    0.000 c_parser.py:249(_type_modify_decl)
       11    0.000    0.000    0.000    0.000 c_parser.py:299(_fix_decl_name_type)
       10    0.000    0.000    0.000    0.000 c_parser.py:343(_add_declaration_specifier)
        5    0.000    0.000    0.000    0.000 c_parser.py:368(_build_declarations)
        2    0.000    0.000    0.000    0.000 c_parser.py:508(p_translation_unit_or_empty)
        2    0.000    0.000    0.000    0.000 c_parser.py:517(p_translation_unit_1)
        3    0.000    0.000    0.000    0.000 c_parser.py:523(p_translation_unit_2)
        5    0.000    0.000    0.000    0.000 c_parser.py:538(p_external_declaration_2)
        5    0.000    0.000    0.000    0.000 c_parser.py:707(p_decl_body)
        5    0.000    0.000    0.000    0.000 c_parser.py:768(p_declaration)
        3    0.000    0.000    0.000    0.000 c_parser.py:793(p_declaration_specifiers_no_type_2)
        4    0.000    0.000    0.000    0.000 c_parser.py:835(p_declaration_specifiers_5)
        3    0.000    0.000    0.000    0.000 c_parser.py:840(p_declaration_specifiers_6)
        3    0.000    0.000    0.000    0.000 c_parser.py:850(p_storage_class_specifier)
        6    0.000    0.000    0.000    0.000 c_parser.py:866(p_type_specifier_no_typeid)
        7    0.000    0.000    0.000    0.000 c_parser.py:882(p_type_specifier)
        9    0.000    0.000    0.000    0.000 c_parser.py:907(p_init_declarator_list)
        9    0.000    0.000    0.000    0.000 c_parser.py:916(p_init_declarator)
        1    0.000    0.000    0.000    0.000 callable.py:228(__init__)
       36    0.000    0.000    0.000    0.000 callable.py:278(_element_constructor_)
        2    0.000    0.000    0.000    0.000 callable.py:295(_repr_)
       24    0.000    0.000    0.000    0.000 callable.py:427(create_key)
        1    0.000    0.000    0.000    0.000 callable.py:445(create_object)
    67/38    0.000    0.000    0.013    0.000 category.py:1002(_super_categories_for_classes)
        1    0.000    0.000    0.000    0.000 category.py:1187(structure)
        3    0.000    0.000    0.000    0.000 category.py:1248(is_full_subcategory)
        2    0.000    0.000    0.000    0.000 category.py:1308(full_super_categories)
   162/66    0.001    0.000    0.021    0.000 category.py:1462(_make_named_class)
  541/408    0.000    0.000    0.003    0.000 category.py:1584(<genexpr>)
    76/47    0.000    0.000    0.017    0.000 category.py:1588(subcategory_class)
    40/30    0.000    0.000    0.003    0.000 category.py:1628(parent_class)
     55/4    0.000    0.000    0.003    0.001 category.py:1673(element_class)
2038/1989    0.001    0.000    0.005    0.000 category.py:1758(is_subcategory)
        2    0.000    0.000    0.000    0.000 category.py:1807(or_subcategory)
    83/13    0.000    0.000    0.001    0.000 category.py:1876(_meet_)
   142/22    0.000    0.000    0.001    0.000 category.py:1931(<genexpr>)
     16/6    0.000    0.000    0.000    0.000 category.py:1965(axioms)
   106/44    0.000    0.000    0.000    0.000 category.py:1983(<genexpr>)
   114/35    0.001    0.000    0.009    0.000 category.py:1987(_with_axiom_as_tuple)
  294/107    0.000    0.000    0.002    0.000 category.py:2034(<genexpr>)
       14    0.000    0.000    0.010    0.001 category.py:2043(_with_axiom)
        3    0.000    0.000    0.001    0.000 category.py:2251(__and__)
  152/103    0.001    0.000    0.017    0.000 category.py:2281(join)
       36    0.000    0.000    0.000    0.000 category.py:2486(category)
   151/69    0.001    0.000    0.019    0.000 category.py:2703(_make_named_class)
       14    0.000    0.000    0.000    0.000 category.py:2869(_subcategory_hook_)
       34    0.000    0.000    0.008    0.000 category.py:2937(__init__)
      118    0.000    0.000    0.000    0.000 category.py:2957(<genexpr>)
       44    0.000    0.000    0.003    0.000 category.py:2963(_make_named_class_key)
      161    0.000    0.000    0.003    0.000 category.py:2995(<genexpr>)
      129    0.000    0.000    0.000    0.000 category.py:2997(super_categories)
        1    0.000    0.000    0.000    0.000 category.py:3009(additional_structure)
       65    0.000    0.000    0.000    0.000 category.py:3023(_subcategory_hook_)
       95    0.000    0.000    0.000    0.000 category.py:3044(<genexpr>)
  187/151    0.000    0.000    0.000    0.000 category.py:3046(is_subcategory)
        2    0.000    0.000    0.002    0.001 category.py:3063(_with_axiom)
   109/77    0.001    0.000    0.029    0.000 category.py:425(__classcall__)
    76/47    0.000    0.000    0.021    0.000 category.py:456(__init__)
        2    0.000    0.000    0.000    0.000 category.py:499(_repr_object_names)
       40    0.000    0.000    0.000    0.000 category.py:519(<genexpr>)
       12    0.000    0.000    0.000    0.000 category.py:521(<genexpr>)
        2    0.000    0.000    0.000    0.000 category.py:597(_repr_)
     1338    0.001    0.000    0.001    0.000 category.py:638(_subcategory_hook_)
       14    0.000    0.000    0.000    0.000 category.py:682(__contains__)
    67/38    0.000    0.000    0.013    0.000 category.py:833(_all_super_categories)
        7    0.000    0.000    0.000    0.000 category.py:868(_all_super_categories_proper)
        7    0.000    0.000    0.000    0.000 category.py:893(_set_of_super_categories)
    67/38    0.000    0.000    0.012    0.000 category.py:977(_super_categories)
    27/12    0.000    0.000    0.011    0.001 category_types.py:173(__init__)
      116    0.000    0.000    0.000    0.000 category_types.py:215(_make_named_class_key)
      160    0.000    0.000    0.000    0.000 category_types.py:266(base)
    27/12    0.000    0.000    0.011    0.001 category_types.py:348(__init__)
      160    0.000    0.000    0.000    0.000 category_types.py:364(base_ring)
